condsFile,shapeStim,taskLoop.thisRepN,taskLoop.thisTrialN,taskLoop.thisN,taskLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,trialGrid.started,trialGrid.stopped,trialShape.started,trialShape.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,trialText.started,trialText.stopped,key_resp.rt,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tSwitchCond1.xlsx,square2.png,0,0,0,0,0,0,0,13,17.784425100006047,None,None,None,None,None,None,0,None,None,None,None,,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,diamond2.png,0,0,0,0,0,1,1,3,,,18.802435899997363,None,18.802435899997363,None,b,0,0.013950859996839426,None,18.802435899997363,None,2.884131700004218,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,diamond2.png,0,0,0,0,0,2,2,0,,,21.722655999998096,None,21.722655999998096,None,m,1,1.0579999070614576e-05,None,21.722655999998096,None,0.06705409999995027,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,square3.png,0,0,0,0,0,3,3,19,,,21.825835199997528,None,21.825835199997528,None,b,1,0.016307519996189512,None,21.825835199997528,None,0.19016160001046956,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,square3.png,0,0,0,0,0,4,4,18,,,22.056540899997344,None,22.056540899997344,None,m,0,0.0001356799912173301,None,22.056540899997344,None,0.04582910001045093,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,diamond3.png,0,0,0,0,0,5,5,5,,,22.14005850000831,None,22.14005850000831,None,m,1,0.0003154800069751218,None,22.14005850000831,None,0.15429729998868424,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,square3.png,0,0,0,0,0,6,6,15,,,22.33894080000755,None,22.33894080000755,None,b,1,0.00023007999698165804,None,22.33894080000755,None,0.06682620001083706,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,diamond3.png,0,0,0,0,0,7,7,9,,,22.43980890000239,None,22.43980890000239,None,m,1,0.0009841799910645932,None,22.43980890000239,None,0.12625020000268705,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,square2.png,0,0,0,0,0,8,8,14,,,22.606132000000798,None,22.606132000000798,None,b,1,0.0003490800008876249,None,22.606132000000798,None,0.13597509999817703,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,diamond2.png,0,0,0,0,0,9,9,2,,,22.788921900006244,None,22.788921900006244,None,m,1,0.016568320002988912,None,22.788921900006244,None,0.057027500006370246,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
